index,ticker,per_end_date,per_type,shares_out
580351,LNG,2024-03-31,Q,228.91
195826,CHD,2024-03-31,Q,243.9
270976,DBD,2024-03-31,Q,37.57
723226,OPBK,2024-03-31,Q,14.96
723301,OPCH,2024-03-31,Q,173.82
195676,CHCT,2024-03-31,Q,27.7
722926,OPAD,2024-03-31,Q,27.28
581476,LOAR,2024-03-31,Q,89.7
270226,DATS,2024-03-31,Q,3.01
581401,LOAN,2024-03-31,Q,11.44
581251,LNZA,2024-03-31,Q,197.73
723001,OPAL,2024-03-31,Q,172.48
270376,DAVA,2024-03-31,Q,57.75
581101,LNW,2024-03-31,Q,90.39
270451,DAVE,2024-03-31,Q,12.39
580951,LNTH,2024-03-31,Q,69.31
580876,LNT,2024-03-31,Q,256.38
580801,LNSR,2024-03-31,Q,11.4
195901,CHDN,2024-03-31,Q,73.5
723376,OPEN,2024-03-31,Q,691.58
723901,OPK,2024-03-31,Q,696.99
724276,OPOF,2024-03-31,Q,5.02
578551,LMND,2024-03-31,Q,70.5
271726,DBX,2024-03-31,Q,343.98
271426,DBRG,2024-03-31,Q,166.22
579601,LNC,2024-03-31,Q,170.03
271201,DBGI,2024-03-31,Q,1.7
723601,OPFI,2024-03-31,Q,110.92
579376,LMT,2024-03-31,Q,239.94
723676,OPGN,2024-03-31,Q,1.26
723751,OPHC,2024-03-31,Q,9.63
195451,CHCI,2024-03-31,Q,9.82
723826,OPI,2024-03-31,Q,48.76
195526,CHCO,2024-03-31,Q,14.86
574351,LIN,2024-03-31,Q,480.68
727426,ORI,2024-03-31,Q,271.83
727576,ORIC,2024-03-31,Q,67.42
276751,DENN,2024-03-31,Q,52.02
569626,LFLY,2024-03-31,Q,2.3
570226,LFWD,2024-03-31,Q,8.5
727201,ORGO,2024-03-31,Q,131.96
570151,LFVN,2024-03-31,Q,12.87
570076,LFUS,2024-03-31,Q,24.78
727276,ORGS,2024-03-31,Q,3.44
569926,LFT,2024-03-31,Q,52.26
569851,LFST,2024-03-31,Q,382.24
276076,DEI,2024-03-31,Q,167.35
728176,ORMP,2024-03-31,Q,40.52
