index,ticker,per_end_date,per_type,mkt_val
718126,OMGA,2024-03-31,Q,201.32
717976,OMF,2024-03-31,Q,6121.03
717901,OMEX,2024-03-31,Q,76.68
377926,FNKO,2024-03-31,Q,332.21
378001,FNLC,2024-03-31,Q,274.25
717451,OMCL,2024-03-31,Q,1342.34
717376,OMCC,2024-03-31,Q,85.85
378151,FNMA,2024-03-31,Q,1818.2
717826,OMER,2024-03-31,Q,199.91
376951,FND,2024-03-31,Q,13870.88
719626,ONB,2024-03-31,Q,5107.8
719476,ON,2024-03-31,Q,31643.56
376201,FN,2024-03-31,Q,6832.17
376276,FNA,2024-03-31,Q,1023.89
376351,FNB,2024-03-31,Q,5066.57
376726,FNCH,2024-03-31,Q,4.18
376651,FNCB,2024-03-31,Q,120.16
732601,OTTW,2024-03-31,Q,28.14
349051,EXAS,2024-03-31,Q,12696.69
746401,PCVX,2024-03-31,Q,7429.36
349126,EXC,2024-03-31,Q,37570.95
746251,PCTY,2024-03-31,Q,9698.28
349351,EXE,2024-03-31,Q,11641.04
349501,EXEL,2024-03-31,Q,6912.38
745876,PCSC,2024-03-31,Q,
349651,EXFY,2024-03-31,Q,159.13
349876,EXLS,2024-03-31,Q,5165.53
745576,PCRX,2024-03-31,Q,1359.41
746101,PCT,2024-03-31,Q,1022.84
747901,PDLB,2024-03-31,Q,211.92
347701,EVTC,2024-03-31,Q,2569.94
747526,PDFS,2024-03-31,Q,1293.0
348001,EVTV,2024-03-31,Q,41.91
747451,PDEX,2024-03-31,Q,61.8
746776,PCYO,2024-03-31,Q,228.84
348226,EW,2024-03-31,Q,57584.45
747226,PDCO,2024-03-31,Q,2477.22
348301,EWBC,2024-03-31,Q,11005.77
348376,EWCZ,2024-03-31,Q,789.54
348526,EWTX,2024-03-31,Q,1698.34
746926,PD,2024-03-31,Q,2167.93
744076,PCG,2024-03-31,Q,48256.68
351526,EYPT,2024-03-31,Q,1076.58
351826,EZFL,2024-03-31,Q,7.99
352126,FA,2024-03-31,Q,2355.08
743326,PCB,2024-03-31,Q,232.93
743251,PCAR,2024-03-31,Q,64936.38
351976,EZPW,2024-03-31,Q,622.5
351301,EYEN,2024-03-31,Q,50.24
745201,PCOR,2024-03-31,Q,12023.5
350326,EXPD,2024-03-31,Q,17248.67
350401,EXPE,2024-03-31,Q,18773.74
350476,EXPI,2024-03-31,Q,1599.56
350551,EXPO,2024-03-31,Q,4189.92
350701,EXR,2024-03-31,Q,31108.2
351076,EYE,2024-03-31,Q,1740.91
350926,EXTR,2024-03-31,Q,1499.59
744526,PCLB,2024-03-31,Q,22.28
751801,PET,2024-03-31,Q,79.88
751651,PESI,2024-03-31,Q,162.55
344101,EURK,2024-03-31,Q,
750976,PEPG,2024-03-31,Q,476.14
750901,PEP,2024-03-31,Q,240601.27
344626,EVBG,2024-03-31,Q,1445.84
344701,EVBN,2024-03-31,Q,164.54
753076,PFC,2024-03-31,Q,727.01
753001,PFBX,2024-03-31,Q,72.26
342601,ETN,2024-03-31,Q,125009.46
752851,PFBC,2024-03-31,Q,1107.79
342676,ETNB,2024-03-31,Q,1108.42
342751,ETON,2024-03-31,Q,96.33
752476,PEV,2024-03-31,Q,27.75
343051,ETRN,2024-03-31,Q,5416.43
343276,ETSY,2024-03-31,Q,8035.61
752176,PETV,2024-03-31,Q,17.94
752101,PETS,2024-03-31,Q,101.3
752026,PETQ,2024-03-31,Q,542.62
343501,ETWO,2024-03-31,Q,1512.53
342976,ETR,2024-03-31,Q,22535.52
344851,EVC,2024-03-31,Q,146.81
750601,PENN,2024-03-31,Q,2765.5
344926,EVCM,2024-03-31,Q,1754.01
749176,PEB,2024-03-31,Q,1856.96
346426,EVLV,2024-03-31,Q,692.33
748801,PDYN,2024-03-31,Q,48.15
346726,EVOK,2024-03-31,Q,5.17
749251,PEBK,2024-03-31,Q,151.95
748576,PDSB,2024-03-31,Q,145.25
347026,EVR,2024-03-31,Q,7417.91
347176,EVRG,2024-03-31,Q,12263.84
347251,EVRI,2024-03-31,Q,841.97
346201,EVI,2024-03-31,Q,315.59
749326,PEBO,2024-03-31,Q,1050.95
750451,PENG,2024-03-31,Q,1376.46
750376,PEN,2024-03-31,Q,8651.55
750301,PEGY,2024-03-31,Q,4.36
345301,EVER,2024-03-31,Q,644.5
345451,EVEX,2024-03-31,Q,1454.57
750001,PEGA,2024-03-31,Q,5496.34
345526,EVFM,2024-03-31,Q,1.43
749926,PEG,2024-03-31,Q,33261.81
749476,PECO,2024-03-31,Q,4390.49
345976,EVH,2024-03-31,Q,3759.63
345901,EVGR,2024-03-31,Q,38.64
748051,PDM,2024-03-31,Q,870.96
749626,PED,2024-03-31,Q,71.67
345826,EVGO,2024-03-31,Q,758.1
362851,FET,2024-03-31,Q,245.43
352651,FACO,2024-03-31,Q,99.02
736351,PACS,2024-03-31,Q,
359326,FCPT,2024-03-31,Q,2250.91
736051,PACK,2024-03-31,Q,653.16
735751,PACB,2024-03-31,Q,1021.29
360001,FCX,2024-03-31,Q,67445.91
360076,FDBC,2024-03-31,Q,281.2
735376,PAA,2024-03-31,Q,12310.81
359026,FCNCA,2024-03-31,Q,23756.12
358951,FCN,2024-03-31,Q,7506.85
357901,FCEL,2024-03-31,Q,537.72
737551,PALI,2024-03-31,Q,5.1
358051,FCF,2024-03-31,Q,1422.61
737401,PAL,2024-03-31,Q,
737251,PAHC,2024-03-31,Q,523.7
358351,FCFS,2024-03-31,Q,5799.67
737101,PAGP,2024-03-31,Q,3599.85
733801,OVV,2024-03-31,Q,13856.3
361951,FEIM,2024-03-31,Q,103.32
733501,OVLY,2024-03-31,Q,207.15
733351,OVID,2024-03-31,Q,215.97
362176,FEMY,2024-03-31,Q,34.25
