ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
MMLP,2024-03-31,Q,0.8881,-6.9927
MMM,2024-03-31,Q,3.6551,4.3408
MNMD,2024-03-31,Q,-25.8741,0.0724
MNKTQ,2024-03-31,Q,-2.31,1.6067
MNKD,2024-03-31,Q,9.8076,-1.6012
MMSI,2024-03-31,Q,1.3841,0.6452
MMS,2024-03-31,Q,2.7662,0.6762
LSEA,2024-03-31,Q,0.0804,0.8649
MKTW,2024-03-31,Q,-8.4532,-0.0026
MKSI,2024-03-31,Q,0.2108,1.9563
MKL,2024-03-31,Q,5.3331,0.2437
LSTR,2024-03-31,Q,4.4581,0.1148
LTC,2024-03-31,Q,1.3878,0.9362
LTH,2024-03-31,Q,0.5808,0.873
LSBK,2024-03-31,Q,0.9073,0.2919
LRCX,2024-03-31,Q,7.7263,0.6212
LRFC,2024-03-31,Q,1.7921,1.2655
LRHC,2024-03-31,Q,-43.8806,0.1311
MLNK,2024-03-31,Q,-0.5993,0.9063
MLM,2024-03-31,Q,8.1566,0.4897
MLR,2024-03-31,Q,4.0787,0.1518
LRN,2024-03-31,Q,4.5035,0.4307
MLAB,2024-03-31,Q,-69.3515,1.5248
MLAB,2024-03-31,A,-69.2597,1.5248
LSAK,2024-03-31,Q,-1.3248,0.8605
LSB,2024-03-31,A,-63.3545,0.7135
MLI,2024-03-31,Q,5.7876,0.0003
LVS,2024-03-31,Q,3.6577,3.4676
MDXG,2024-03-31,Q,5.202,0.1249
MAT,2024-03-31,Q,-0.6492,1.151
MDWK,2024-03-31,Q,-18.657,0.4506
MATV,2024-03-31,Q,-1.3463,1.2977
MDU,2024-03-31,Q,1.9014,0.8006
MATW,2024-03-31,Q,0.6703,1.6546
MAX,2024-03-31,Q,-2.105,-1.925
MDRR,2024-03-31,Q,2.8297,2.8566
MATX,2024-03-31,Q,1.3112,0.1766
MEG,2024-03-31,Q,-1.8149,0.8132
MAR,2024-03-31,Q,5.5665,-7.8329
MARA,2024-03-31,Q,12.0291,0.1317
MARK,2024-03-31,Q,32.4984,-0.3882
MEC,2024-03-31,Q,0.8669,0.5974
MASI,2024-03-31,Q,0.8565,0.6163
MBC,2024-03-31,Q,1.9632,0.5761
MBCN,2024-03-31,Q,1.9169,0.7239
MD,2024-03-31,Q,0.2604,0.829
MCY,2024-03-31,Q,3.3731,0.3577
MCW,2024-03-31,Q,0.9032,0.9917
MCFT,2024-03-31,Q,1.574,0.2555
MCHP,2024-03-31,A,16.3567,0.9012
MCHX,2024-03-31,Q,-4.1201,0.0098
MCK,2024-03-31,A,31.3088,-7.3433
MCK,2024-03-31,Q,8.2235,-7.3433
MCO,2024-03-31,Q,5.7735,1.8592
MCRB,2024-03-31,Q,-94.9422,-1.7076
MCHP,2024-03-31,Q,1.327,0.9012
MCBS,2024-03-31,Q,3.6891,0.8825
MBI,2024-03-31,Q,-6.4018,-1.7887
MBIN,2024-03-31,Q,2.4098,1.0335
MNR,2024-03-31,Q,2.231,0.7065
MDGL,2024-03-31,Q,-15.2593,0.1365
MBWM,2024-03-31,Q,3.1919,1.5179
MCB,2024-03-31,Q,2.0744,0.6051
MDLZ,2024-03-31,Q,3.1262,0.6686
MAN,2024-03-31,Q,1.2577,0.45
MAMO,2024-03-31,Q,17.4696,0.006
MHGU,2024-03-31,Q,0.5615,1.6803
MGYR,2024-03-31,Q,1.7624,0.2675
LYB,2024-03-31,Q,1.9737,0.8615
MGY,2024-03-31,Q,4.2595,0.2073
MGPI,2024-03-31,Q,1.7745,0.3476
LYFT,2024-03-31,Q,-2.1999,1.9176
MGTX,2024-03-31,Q,-9.9271,0.726
MCS,2024-03-31,Q,-1.8806,0.4017
LXU,2024-03-31,Q,0.5295,1.078
MHK,2024-03-31,Q,1.1239,0.3434
MIGI,2024-03-31,Q,-152.9557,1.4754
MIDD,2024-03-31,Q,1.5237,0.7292
LXEO,2024-03-31,Q,-11.777,0.0092
LXFR,2024-03-31,Q,0.9709,0.3728
LXP,2024-03-31,Q,-0.021,0.7973
LXRX,2024-03-31,Q,-12.4497,0.3457
MHO,2024-03-31,Q,3.8812,0.348
MHLD,2024-03-31,Q,0.2895,1.0212
MFA,2024-03-31,Q,0.2196,4.6099
METC,2024-03-31,Q,0.4629,0.2779
META,2024-03-31,Q,7.3662,0.123
MET,2024-03-31,Q,1.9291,0.6894
MESA,2024-03-31,Q,2.5699,2.5435
MERC,2024-03-31,Q,-0.7631,2.8157
MAIN,2024-03-31,Q,3.8308,0.8142
MELI,2024-03-31,Q,6.1275,1.3186
MFIC,2024-03-31,Q,1.0571,1.3967
MAC,2024-03-31,Q,-1.9827,1.8085
LYTS,2024-03-31,Q,2.5361,0.086
LYV,2024-03-31,Q,-0.5803,13.2559
MGNI,2024-03-31,Q,-1.4269,0.7949
MGM,2024-03-31,Q,2.9108,1.5568
MGEE,2024-03-31,Q,1.802,0.6592
MA,2024-03-31,Q,14.4558,2.1451
MGAM,2024-03-31,Q,-24.5024,0.0104
MAA,2024-03-31,Q,1.3565,0.739
MG,2024-03-31,Q,0.259,1.1441
MFON,2024-03-31,Q,47.1457,-0.7902
MFIN,2024-03-31,Q,1.793,0.6176
MNRO,2024-03-31,A,3.7263,0.5934
MNSB,2024-03-31,Q,1.1171,0.326
NVEE,2024-03-31,Q,0.04,0.3152
NVCR,2024-03-31,Q,-4.1722,1.5852
NVAX,2024-03-31,Q,22.91,-0.2645
NUZE,2024-03-31,Q,287.6917,-0.5071
NUVR,2024-03-31,Q,0.3263,1.2826
NUTX,2024-03-31,Q,-0.17,3.1959
NVFY,2024-03-31,Q,-1408.324,-8.1527
NUS,2024-03-31,Q,-0.0422,0.5964
NUKK,2024-03-31,Q,22.9542,-0.1452
NUE,2024-03-31,Q,3.3798,0.3154
NTWK,2024-03-31,Q,0.7982,0.1566
NTST,2024-03-31,Q,0.0535,0.555
NTRS,2024-03-31,Q,1.1351,1.3594
NTRA,2024-03-31,Q,-6.2744,0.458
NXT,2024-03-31,A,43.6811,0.1451
NXST,2024-03-31,Q,1.849,2.9028
NXPL,2024-03-31,Q,-3.5248,0.0301
NXPI,2024-03-31,Q,3.332,1.1124
NXGL,2024-03-31,Q,-14.5498,0.2223
NWSA,2024-03-31,Q,0.3574,0.3256
NWS,2024-03-31,Q,0.3574,0.3256
NWPX,2024-03-31,Q,1.2112,0.2937
NWN,2024-03-31,Q,2.1871,1.2434
NWFL,2024-03-31,Q,2.4463,1.1657
NWBO,2024-03-31,Q,34.246,-0.6424
NVT,2024-03-31,Q,2.1223,0.5521
NVST,2024-03-31,Q,0.4267,0.3637
NVRO,2024-03-31,Q,-5.1508,0.771
NVRI,2024-03-31,Q,-0.7906,2.681
NVR,2024-03-31,Q,7.5,0.2101
NWL,2024-03-31,Q,-0.1179,1.6213
NRC,2024-03-31,Q,9.8568,1.1388
NR,2024-03-31,Q,1.5112,0.1837
NPSNY,2024-03-31,A,11.9343,0.3997
NPO,2024-03-31,Q,0.5998,0.481
NPCE,2024-03-31,Q,-12.3308,4.0471
NOW,2024-03-31,Q,3.6165,0.1835
NOVA,2024-03-31,Q,-0.9574,3.6389
NOV,2024-03-31,Q,1.4966,0.286
NOTV,2024-03-31,Q,-23.1776,1.8374
NOTE,2024-03-31,Q,19.5319,1.4424
NOG,2024-03-31,Q,0.2945,0.9684
NOC,2024-03-31,Q,3.2591,1.0365
NOVT,2024-03-31,Q,1.2327,0.7535
NTCT,2024-03-31,Q,-1.6274,0.0529
NTCT,2024-03-31,A,-7.4161,0.0529
NTBLQ,2024-03-31,Q,-31.9477,0.0279
NSYS,2024-03-31,Q,1.8066,0.1842
NSTM,2024-03-31,Q,21.1966,-1.7452
