ticker,per_end_date,per_type,mkt_val
CVGI,2024-03-31,Q,217.88
CUZ,2024-03-31,Q,3655.8
RRGB,2024-03-31,Q,119.53
RRC,2024-03-31,Q,8353.65
RR,2024-03-31,Q,94.63
RPRX,2024-03-31,Q,18144.16
CVEO,2024-03-31,Q,392.65
CVCO,2024-03-31,Q,3330.8
CSTAF,2024-03-31,Q,136.52
CTBI,2024-03-31,Q,768.59
RVYL,2024-03-31,Q,17.52
RVTY,2024-03-31,Q,12970.11
RWAY,2024-03-31,Q,490.97
CTCX,2024-03-31,Q,49.56
RVP,2024-03-31,Q,35.92
RVNC,2024-03-31,Q,512.74
RVSB,2024-03-31,Q,99.64
CTGO,2024-03-31,Q,191.09
RXT,2024-03-31,Q,353.33
RXST,2024-03-31,Q,1917.41
CSTL,2024-03-31,Q,611.5
RXRX,2024-03-31,Q,2367.96
RXO,2024-03-31,Q,2570.66
CSV,2024-03-31,Q,410.08
CSWC,2024-03-31,Q,1072.81
RWWI,2024-03-31,Q,564.37
CSX,2024-03-31,Q,72469.15
CTAS,2024-03-31,Q,69645.22
CTRA,2024-03-31,Q,20961.51
CTRE,2024-03-31,Q,3289.77
RTX,2024-03-31,Q,129666.73
CTS,2024-03-31,Q,1440.62
CTSO,2024-03-31,Q,51.59
CTOS,2024-03-31,Q,1455.44
CTKB,2024-03-31,Q,880.78
CTLP,2024-03-31,Q,468.08
CTLT,2024-03-31,Q,10216.31
CTM,2024-03-31,Q,13.8
RUN,2024-03-31,Q,2921.5
CTO,2024-03-31,Q,388.94
CTNT,2024-03-31,Q,35.29
RUSHB,2024-03-31,Q,4184.77
COCH,2024-03-31,Q,76.83
SFST,2024-03-31,Q,259.04
COCO,2024-03-31,Q,1384.79
CODI,2024-03-31,Q,1814.49
COEP,2024-03-31,Q,10.73
SFM,2024-03-31,Q,6478.77
CNVS,2024-03-31,Q,18.53
SGC,2024-03-31,Q,276.63
SGBX,2024-03-31,Q,4.38
CNXC,2024-03-31,Q,4369.98
SGAPY,2024-03-31,Q,31095.86
CNX,2024-03-31,Q,3634.98
COFS,2024-03-31,Q,206.77
COLL,2024-03-31,Q,1269.64
COMM,2024-03-31,Q,278.08
SERA,2024-03-31,Q,296.36
COMP,2024-03-31,Q,1772.31
SENS,2024-03-31,Q,281.92
SER,2024-03-31,Q,113.25
COLD,2024-03-31,Q,7078.13
COHN,2024-03-31,Q,13.76
COHR,2024-03-31,Q,9202.93
SEZL,2024-03-31,Q,478.52
SF,2024-03-31,Q,8024.11
COKE,2024-03-31,Q,7933.98
SFBC,2024-03-31,Q,104.11
SFBS,2024-03-31,Q,3617.24
COHU,2024-03-31,Q,1569.37
COIN,2024-03-31,Q,65105.23
SHFS,2024-03-31,Q,53.49
CNET,2024-03-31,Q,7.35
SHEN,2024-03-31,Q,947.48
CNFR,2024-03-31,Q,13.81
SHECY,2024-03-31,Q,87554.0
SHCO,2024-03-31,Q,1109.47
SHC,2024-03-31,Q,3399.68
CNK,2024-03-31,Q,2198.56
SHBI,2024-03-31,Q,381.92
CNDT,2024-03-31,Q,705.21
CNA,2024-03-31,Q,12304.23
SHO,2024-03-31,Q,2269.15
CNC,2024-03-31,Q,41881.32
SHLS,2024-03-31,Q,1905.3
SHIM,2024-03-31,Q,147.95
CNSL,2024-03-31,Q,511.62
SGMA,2024-03-31,Q,22.12
SGLY,2024-03-31,Q,17.6
CNTY,2024-03-31,Q,96.96
SGHT,2024-03-31,Q,261.64
CNM,2024-03-31,Q,11532.89
CNNE,2024-03-31,Q,1396.06
CNO,2024-03-31,Q,2974.98
SGU,2024-03-31,Q,356.46
CNOB,2024-03-31,Q,747.49
CNP,2024-03-31,Q,18225.74
SGRP,2024-03-31,Q,23.48
SGRY,2024-03-31,Q,3791.44
SENEA,2024-03-31,Q,404.99
CPRI,2024-03-31,Q,5280.47
CPRT,2024-03-31,Q,55690.08
CPS,2024-03-31,Q,286.33
CPSH,2024-03-31,Q,26.86
CPT,2024-03-31,Q,10483.06
SCPX,2024-03-31,Q,5.84
SCPH,2024-03-31,Q,180.99
CPSS,2024-03-31,Q,159.74
SCOR,2024-03-31,Q,74.2
SCS,2024-03-31,Q,1500.66
SCSC,2024-03-31,Q,1108.51
CPK,2024-03-31,Q,2389.29
CPNG,2024-03-31,Q,31933.05
CPMD,2024-03-31,Q,9.78
CRBG,2024-03-31,Q,17572.44
CRBP,2024-03-31,Q,412.3
CRC,2024-03-31,Q,3776.04
SCHL,2024-03-31,Q,1078.51
CRD.A,2024-03-31,Q,463.92
CRD.B,2024-03-31,Q,446.21
CRAI,2024-03-31,Q,1034.44
SCLX,2024-03-31,Q,264.24
CQP,2024-03-31,Q,23906.77
CPIX,2024-03-31,Q,23.82
SCM,2024-03-31,Q,315.56
CONNQ,2024-03-31,Q,83.37
SEEL,2024-03-31,Q,9.82
COSM,2024-03-31,Q,12.02
COST,2024-03-31,Q,324924.34
SEDG,2024-03-31,Q,4067.06
COTY,2024-03-31,Q,10380.08
SEB,2024-03-31,Q,3130.6
SEE,2024-03-31,Q,5416.59
COO,2024-03-31,Q,20165.81
COOK,2024-03-31,Q,324.2
SEMR,2024-03-31,Q,1919.08
COOP,2024-03-31,Q,5045.0
SEM,2024-03-31,Q,3870.1
COR,2024-03-31,Q,48464.79
SELF,2024-03-31,Q,50.11
SEI,2024-03-31,Q,381.67
SEAT,2024-03-31,Q,1307.46
SDIG,2024-03-31,Q,63.52
CPF,2024-03-31,Q,534.09
SDHC,2024-03-31,Q,1523.08
SDGR,2024-03-31,Q,1962.34
CPHC,2024-03-31,Q,116.3
CPHI,2024-03-31,Q,5.5
SDOT,2024-03-31,Q,15.47
COYA,2024-03-31,Q,144.85
CPB,2024-03-31,Q,13250.66
CPAY,2024-03-31,Q,22276.59
ROST,2024-03-31,Q,49414.09
DNA,2024-03-31,Q,2359.0
RAIL,2024-03-31,Q,70.63
DM,2024-03-31,Q,290.55
DMTKQ,2024-03-31,Q,24.31
DMRC,2024-03-31,Q,580.93
RANI,2024-03-31,Q,156.77
DMSLQ,2024-03-31,Q,5.73
QUIK,2024-03-31,Q,230.47
DOGZ,2024-03-31,Q,8.77
QUAD,2024-03-31,Q,275.79
QTWO,2024-03-31,Q,3104.94
QTTB,2024-03-31,Q,203.28
DOMO,2024-03-31,Q,339.24
DORM,2024-03-31,Q,2990.59
QTI,2024-03-31,Q,22.72
DOCN,2024-03-31,Q,3481.7
DNMR,2024-03-31,Q,124.52
R,2024-03-31,Q,5267.78
QXO,2024-03-31,Q,70.11
DLX,2024-03-31,Q,906.9
QURE,2024-03-31,Q,248.76
DNUT,2024-03-31,Q,2570.61
DOC,2024-03-31,Q,13195.9
DOV,2024-03-31,Q,24351.25
