ticker,per_end_date,per_type,shares_out
TDOC,2024-03-31,Q,169.59
DK,2024-03-31,Q,64.02
TDG,2024-03-31,Q,55.61
DJCO,2024-03-31,Q,1.38
DIT,2024-03-31,Q,0.63
SYRS,2024-03-31,Q,26.73
DYAI,2024-03-31,Q,29.24
DYNT,2024-03-31,Q,4.88
DZSI,2024-03-31,Q,31.16
SYPR,2024-03-31,Q,22.77
DXYN,2024-03-31,Q,15.89
T,2024-03-31,Q,7170.17
DVN,2024-03-31,Q,632.0
DWSN,2024-03-31,Q,30.81
DXPE,2024-03-31,Q,15.93
SYY,2024-03-31,Q,497.98
DXCM,2024-03-31,Q,397.68
DXC,2024-03-31,Q,182.87
DX,2024-03-31,Q,64.16
SYF,2024-03-31,Q,401.54
EBTC,2024-03-31,Q,12.28
EBS,2024-03-31,Q,52.4
SYK,2024-03-31,Q,380.95
SYBX,2024-03-31,Q,11.63
ECIA,2024-03-31,Q,11.88
ECBK,2024-03-31,Q,9.24
SYBT,2024-03-31,Q,29.37
ECDA,2024-03-31,Q,31.88
ECC,2024-03-31,Q,76.95
EBMT,2024-03-31,Q,8.02
EAF,2024-03-31,Q,257.17
EAT,2024-03-31,Q,44.49
EBET,2024-03-31,Q,10.0
EBC,2024-03-31,Q,176.43
SYNA,2024-03-31,Q,39.3
EB,2024-03-31,Q,97.11
DSGR,2024-03-31,Q,46.81
DSAQ,2024-03-31,Q,8.47
DSS,2024-03-31,Q,7.07
TASK,2024-03-31,Q,88.97
TARS,2024-03-31,Q,37.78
DRIO,2024-03-31,Q,29.67
DRH,2024-03-31,Q,210.78
DRVN,2024-03-31,Q,164.1
DRTTF,2024-03-31,Q,191.46
DUK,2024-03-31,Q,771.46
DUOL,2024-03-31,Q,37.52
DTSS,2024-03-31,Q,3.02
DUOT,2024-03-31,Q,7.32
DVAX,2024-03-31,Q,130.86
DVA,2024-03-31,Q,87.7
DV,2024-03-31,Q,171.8
DTE,2024-03-31,Q,206.94
TAP,2024-03-31,Q,211.87
DTC,2024-03-31,Q,91.23
TALO,2024-03-31,Q,183.92
DTM,2024-03-31,Q,97.11
DTI,2024-03-31,Q,29.77
DFLI,2024-03-31,Q,60.26
DFH,2024-03-31,Q,93.27
CULL,2024-03-31,Q,7.27
CUEN,2024-03-31,Q,2.73
CUE,2024-03-31,Q,48.64
CUZ,2024-03-31,Q,152.07
CUTR,2024-03-31,Q,19.94
CUBI,2024-03-31,Q,31.49
CUBE,2024-03-31,Q,224.97
CTSO,2024-03-31,Q,54.31
TKR,2024-03-31,Q,70.41
CTS,2024-03-31,Q,30.79
TKOMY,2024-03-31,Q,1975.45
TKNO,2024-03-31,Q,40.82
TKO,2024-03-31,Q,172.04
CTVA,2024-03-31,Q,696.98
CTV,2024-03-31,Q,140.14
CVV,2024-03-31,Q,6.82
CVU,2024-03-31,Q,12.86
CVS,2024-03-31,Q,1255.37
CVRX,2024-03-31,Q,21.59
TIL,2024-03-31,Q,6.5
CWD,2024-03-31,Q,21.73
CWCO,2024-03-31,Q,15.83
CVX,2024-03-31,Q,1847.01
CWBC,2024-03-31,Q,11.83
CWAN,2024-03-31,Q,245.72
CVI,2024-03-31,Q,100.53
TIPT,2024-03-31,Q,36.78
CVGI,2024-03-31,Q,33.88
CVEO,2024-03-31,Q,14.62
