ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
IVDN,Innovative Designs,NASDAQ Other OTC,2024-01-31,Q,2024-04-30,10-Q,2.0,-0.0136,-0.002
RH,RH,NYSE,2024-01-31,Q,2024-03-28,10-Q,1.0,-41.854,0.91
A,Agilent Technologies,NYSE,2024-01-31,Q,2024-03-05,10-Q,10.0,-180.0,1.18
RH,RH,NYSE,2024-01-31,A,2024-03-28,10-K,1.0,-41.854,5.91
CURV,Torrid Holdings,NYSE,2024-01-31,A,2024-04-02,10-K,3.0,-18.61,0.11
CURV,Torrid Holdings,NYSE,2024-01-31,Q,2024-04-02,10-Q,3.0,-18.61,-0.03
DAKT,Daktronics,NASDAQ,2024-01-31,Q,2024-02-28,10-Q,10.0,21.678,0.09
CRWD,CrowdStrike,NASDAQ,2024-01-31,A,2024-03-07,10-K,10.0,742.494,0.37
PVH,PVH,NYSE,2024-01-31,Q,2024-04-02,10-Q,2.0,-111.9,4.46
CPB,Campbell Soup,NASDAQ,2024-01-31,Q,2024-03-06,10-Q,1.0,4506.0,0.68
SAIC,Science Applications International,NASDAQ,2024-01-31,Q,2024-03-20,10-Q,10.0,-281.0,0.77
SAIC,Science Applications International,NASDAQ,2024-01-31,A,2024-03-20,10-K,10.0,-281.0,8.88
CPRT,Copart,NASDAQ,2024-01-31,Q,2024-02-27,10-Q,16.0,-0.011,0.33
DG,Dollar General,NYSE,2024-01-31,Q,2024-03-25,10-Q,3.0,1478.537,1.82
DG,Dollar General,NYSE,2024-01-31,A,2024-03-25,10-K,3.0,1478.537,7.55
DELL,Dell Technologies,NYSE,2024-01-31,Q,2024-03-25,10-Q,10.0,-3471.0,1.58
DELL,Dell Technologies,NYSE,2024-01-31,A,2024-03-25,10-K,10.0,-3471.0,4.36
DE,Deere & Company,NYSE,2024-01-31,Q,2024-02-29,10-Q,7.0,2050.0,6.23
DDS,Dillard's,NYSE,2024-01-31,Q,2024-03-29,10-Q,3.0,521.461,15.41
DDS,Dillard's,NYSE,2024-01-31,A,2024-03-29,10-K,3.0,521.461,44.73
DCI,Donaldson,NYSE,2024-01-31,Q,2024-03-04,10-Q,7.0,-53.7,0.81
CRM,Salesforce,NYSE,2024-01-31,A,2024-03-06,10-K,10.0,-1811.0,4.2
CRM,Salesforce,NYSE,2024-01-31,Q,2024-03-06,10-Q,10.0,-1811.0,1.47
CRMT,America's CarMart,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,3.0,-394.45,-1.34
DBI,Designer Brands,NYSE,2024-01-31,Q,2024-03-25,10-Q,3.0,153.1599,-0.44
