ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
ET,2024-03-31,Q,1.7609,1.2211
ORGO,2024-03-31,Q,-0.6195,0.243
ORGN,2024-03-31,Q,-3.3799,0.0215
ORGS,2024-03-31,Q,222.1853,-0.9467
ETON,2024-03-31,Q,-5.2343,0.324
ETNB,2024-03-31,Q,-9.6853,0.0489
PAHC,2024-03-31,Q,1.1576,1.7987
EQBK,2024-03-31,Q,2.5401,0.7899
OPY,2024-03-31,Q,2.8159,1.2924
OPTX,2024-03-31,Q,-8.1653,0.2869
OPRT,2024-03-31,Q,-0.8982,6.7059
EVCM,2024-03-31,Q,-1.2308,0.6633
OSIS,2024-03-31,Q,3.6039,0.6005
PACB,2024-03-31,Q,-5.0714,1.3752
OSK,2024-03-31,Q,4.0543,0.3241
EPAM,2024-03-31,Q,3.3198,0.0074
ESMC,2024-03-31,Q,-8.2985,0.1882
OSS,2024-03-31,Q,-3.4912,0.0354
OPOF,2024-03-31,Q,1.5953,0.6609
OPK,2024-03-31,Q,-5.124,0.2932
EVEX,2024-03-31,Q,-13.9817,0.2842
PAA,2024-03-31,Q,1.6751,0.5761
OZK,2024-03-31,Q,2.9557,0.1275
EQS,2024-03-31,Q,-2.4226,1.1542
OPI,2024-03-31,Q,-0.1354,2.0628
OSTX,2024-03-31,Q,5.7201,-0.6102
EUSP,2024-03-31,Q,1.642,0.0947
OSCR,2024-03-31,Q,13.3119,0.2891
PARA,2024-03-31,Q,-1.4969,0.654
EQH,2024-03-31,Q,2.37,1.4383
PAG,2024-03-31,Q,3.4274,1.1418
PARAA,2024-03-31,Q,-1.4969,0.654
EPD,2024-03-31,Q,2.6127,1.0336
ESRT,2024-03-31,Q,0.2658,1.2981
EQIX,2024-03-31,Q,0.8559,1.2896
PARR,2024-03-31,Q,-0.1914,0.4979
EVBN,2024-03-31,Q,0.6929,0.9685
PACS,2024-03-31,Q,5.4512,5.8738
OPRX,2024-03-31,Q,-4.4524,0.2931
PACK,2024-03-31,Q,-0.849,0.7084
EVC,2024-03-31,Q,-13.9912,1.1474
EPC,2024-03-31,Q,1.2405,0.886
ESPR,2024-03-31,Q,-189.1274,-0.8904
OWLT,2024-03-31,Q,-15.0246,-0.516
OII,2024-03-31,Q,1.3668,0.76
FGF,2024-03-31,Q,-5.9092,0.1496
NUVR,2024-03-31,Q,0.3263,1.2826
NVAX,2024-03-31,Q,22.91,-0.2645
FGEN,2024-03-31,Q,24.3188,-0.3478
FGBI,2024-03-31,Q,0.4864,0.8974
FGI,2024-03-31,Q,-2.2804,0.4851
FG,2024-03-31,Q,2.1359,0.4746
FFWM,2024-03-31,Q,0.0301,2.0231
NVEE,2024-03-31,Q,0.04,0.3152
FFNW,2024-03-31,Q,-0.6717,0.7179
NVFY,2024-03-31,Q,-1408.324,-8.1527
FICO,2024-03-31,Q,10.0387,-2.778
FIBK,2024-03-31,Q,0.9596,1.1434
NTRS,2024-03-31,Q,1.1351,1.3594
NTST,2024-03-31,Q,0.0535,0.555
FI,2024-03-31,Q,1.4141,0.8301
NTWK,2024-03-31,Q,0.7982,0.1566
NUKK,2024-03-31,Q,22.9542,-0.1452
FHI,2024-03-31,Q,5.0163,0.3032
NUS,2024-03-31,Q,-0.0422,0.5964
NUTX,2024-03-31,Q,-0.17,3.1959
NWL,2024-03-31,Q,-0.1179,1.6213
NWN,2024-03-31,Q,2.1871,1.2434
FEAM,2024-03-31,Q,-29.193,2.4848
NWPX,2024-03-31,Q,1.2112,0.2937
NWS,2024-03-31,Q,0.3574,0.3256
NWSA,2024-03-31,Q,0.3574,0.3256
FE,2024-03-31,Q,0.7571,1.8009
FDUS,2024-03-31,Q,3.3079,0.7476
NXGL,2024-03-31,Q,-14.5498,0.2223
NXPI,2024-03-31,Q,3.332,1.1124
NXPL,2024-03-31,Q,-3.5248,0.0301
NWFL,2024-03-31,Q,2.4463,1.1657
FEMY,2024-03-31,Q,-17.8987,0.2945
FFIE,2024-03-31,Q,-21.1707,0.5202
FFIC,2024-03-31,Q,0.2747,1.0025
FFDF,2024-03-31,Q,3.6353,0.0773
NVRO,2024-03-31,Q,-5.1508,0.771
NWE,2024-03-31,Q,1.1654,0.9865
FETM,2024-03-31,Q,0.873,1.2653
FET,2024-03-31,Q,-1.4159,0.6442
NVST,2024-03-31,Q,0.4267,0.3637
NVT,2024-03-31,Q,2.1223,0.5521
