ticker,per_end_date,per_type,mkt_val
SHBI,2024-03-31,Q,381.92
CNDT,2024-03-31,Q,705.21
CNA,2024-03-31,Q,12304.23
SHO,2024-03-31,Q,2269.15
CNC,2024-03-31,Q,41881.32
SHIM,2024-03-31,Q,147.95
SHLS,2024-03-31,Q,1905.3
SHAK,2024-03-31,Q,4401.41
CNM,2024-03-31,Q,11532.89
SGMA,2024-03-31,Q,22.12
CNTA,2024-03-31,Q,1138.34
CNSL,2024-03-31,Q,511.62
CNTY,2024-03-31,Q,96.96
SGHT,2024-03-31,Q,261.64
CNMD,2024-03-31,Q,2466.52
CNNE,2024-03-31,Q,1396.06
CNO,2024-03-31,Q,2974.98
SGU,2024-03-31,Q,356.46
CNOB,2024-03-31,Q,747.49
CNP,2024-03-31,Q,18225.74
SGRP,2024-03-31,Q,23.48
SGRY,2024-03-31,Q,3791.44
SCCO,2024-03-31,Q,82352.44
SENEA,2024-03-31,Q,404.99
CPS,2024-03-31,Q,286.33
CPSH,2024-03-31,Q,26.86
CPSS,2024-03-31,Q,159.74
CPRI,2024-03-31,Q,5280.47
SCPX,2024-03-31,Q,5.84
SCPH,2024-03-31,Q,180.99
SCOR,2024-03-31,Q,74.2
CPT,2024-03-31,Q,10483.06
SCS,2024-03-31,Q,1500.66
CPMD,2024-03-31,Q,9.78
CPNG,2024-03-31,Q,31933.05
SCSC,2024-03-31,Q,1108.51
SCL,2024-03-31,Q,2023.64
CRBG,2024-03-31,Q,17572.44
